member_id,age,gender,region,joined_at,updated_at
M0001,16,F,Palmerston North,2024-09-20 07:33:32,2024-10-11 22:23:57
M0002,62,M,Invercargill,2022-12-13 17:53:58,2023-04-01 03:04:29
M0003,52,F,Hamilton,2024-04-27 04:44:17,2024-05-30 23:04:00
M0004,28,M,New Plymouth,2022-02-16 06:55:15,2022-07-11 20:07:57
M0005,50,M,Whangarei,2024-07-24 04:53:06,2024-07-29 08:33:05
M0006,49,F,Palmerston North,2024-10-06 13:26:52,2024-12-13 15:39:12
M0007,66,M,Dunedin,2023-11-29 19:43:37,2024-07-02 21:34:39
M0008,36,F,Dunedin,2024-12-20 12:31:23,2024-12-25 15:37:06
M0009,63,F,Tauranga,2022-12-01 11:28:43,2024-12-13 23:13:24
M0010,21,F,Hastings,2022-05-25 01:48:56,2024-01-05 06:31:55
M0011,66,M,Whangarei,2024-07-26 20:32:16,2024-09-16 05:17:39
M0012,22,F,Tauranga,2023-12-15 16:36:03,2024-07-10 22:36:32
M0013,68,F,Whanganui,2024-05-07 13:33:59,2024-08-29 10:11:09
M0014,17,M,Napier,2022-10-26 17:02:17,2023-02-11 18:14:31
M0015,70,M,Nelson,2022-05-04 22:51:37,2023-05-01 13:56:00
M0016,55,F,Dunedin,2023-03-08 19:36:25,2024-02-23 23:47:15
M0017,28,F,Whangarei,2023-07-30 01:20:48,2024-05-01 00:04:21
M0018,19,M,New Plymouth,2024-11-27 20:30:14,2024-12-29 07:31:11
M0019,44,F,Napier,2023-01-16 07:12:46,2023-05-23 05:15:21
M0020,58,F,Hamilton,2024-09-21 04:55:13,2024-11-02 20:24:04
M0021,17,F,Nelson,2022-12-22 19:31:51,2024-09-21 03:02:29
M0022,28,F,Palmerston North,2023-02-20 22:06:12,2023-04-13 07:56:54
M0023,40,F,Dunedin,2024-10-15 04:31:28,2024-12-02 15:49:03
M0024,30,F,Whangarei,2023-02-16 11:26:54,2023-06-04 22:20:46
M0025,72,F,Hastings,2024-06-27 02:56:43,2024-09-18 07:35:29
M0026,47,F,Tauranga,2022-12-07 16:52:13,2023-03-25 03:33:39
M0027,24,M,Invercargill,2022-03-15 04:37:32,2022-09-01 12:38:29
M0028,39,F,Whanganui,2023-10-18 19:15:51,2023-12-07 03:30:23
M0029,31,M,Invercargill,2023-12-29 02:09:52,2024-07-21 13:52:03
M0030,63,F,Invercargill,2022-06-27 22:47:54,2024-10-09 02:30:11
M0031,33,F,Dunedin,2023-06-13 10:39:39,2023-09-08 02:08:38
M0032,61,F,New Plymouth,2023-12-06 20:02:45,2023-12-09 08:32:34
M0033,73,M,Invercargill,2022-10-05 12:37:29,2024-12-02 04:22:09
M0034,47,M,Dunedin,2023-04-09 14:49:41,2024-08-17 21:42:35
M0035,49,M,Whanganui,2023-08-04 20:31:07,2023-12-08 08:00:39
M0036,16,M,Hastings,2023-05-19 13:24:49,2024-06-02 01:41:03
M0037,18,M,Whanganui,2023-04-23 16:57:27,2023-10-26 16:40:19
M0038,61,F,Tauranga,2022-05-03 08:16:32,2022-09-13 09:40:03
