log_id,member_id,news_id,ip_address,viewed_at
L000001,M0015,N0060,115.166.214.40,2024-02-14 04:47:07
L000002,M0038,N0066,190.70.107.214,2024-01-20 12:53:16
L000003,M0032,N0059,170.38.99.49,2024-07-20 02:24:59
L000004,M0018,N0009,135.198.203.219,2023-10-07 14:10:29
L000005,M0065,N0035,205.1.73.186,2023-04-09 18:58:07
L000006,M0075,N0085,162.222.39.115,2024-04-16 15:44:21
L000007,M0043,N0071,197.140.97.117,2023-05-15 20:43:44
L000008,M0090,N0031,173.99.60.220,2023-10-01 02:48:20
L000009,,N0096,160.181.234.208,2023-08-16 05:19:38
L000010,M0085,N0084,119.127.247.10,2022-07-16 02:48:07
L000011,M0076,N0043,112.224.217.113,2022-06-04 21:31:17
L000012,M0059,N0002,192.37.105.223,2024-10-14 04:01:01
L000013,M0010,N0061,200.249.68.87,2024-08-26 04:47:40
L000014,M0084,N0011,209.85.219.173,2024-04-08 22:52:54
L000015,M0041,N0081,191.228.195.125,2024-04-20 10:32:20
L000016,,N0009,130.162.176.236,2023-03-23 10:15:56
L000017,M0096,N0012,155.251.26.195,2024-09-11 11:49:53
L000018,M0013,N0057,121.178.77.232,2022-02-14 23:13:54
L000019,,N0008,137.92.96.111,2022-08-15 03:14:07
L000020,M0053,N0073,187.203.47.44,2022-09-29 23:03:31
L000021,,N0049,179.175.62.128,2024-06-24 21:40:25
L000022,M0060,N0082,132.118.66.171,2022-01-15 14:21:41
L000023,M0060,N0037,186.140.41.19,2023-11-18 04:52:47
L000024,M0076,N0039,181.247.109.177,2023-01-24 12:20:15
L000025,M0039,N0026,149.219.124.28,2023-01-04 11:40:10
L000026,M0046,N0074,137.255.180.76,2022-02-04 01:58:02
L000027,M0085,N0051,135.3.145.222,2024-12-01 08:27:29
L000028,M0007,N0078,195.128.214.232,2023-03-21 14:05:28
L000029,M0030,N0078,202.91.57.163,2022-10-23 08:38:03
L000030,M0087,N0097,192.197.169.175,2022-08-01 11:29:58
L000031,M0081,N0083,105.80.202.113,2022-02-21 19:55:11
L000032,M0094,N0017,111.233.76.84,2023-10-08 11:04:41
L000033,M0017,N0070,146.136.129.234,2023-02-28 08:33:21
L000034,M0033,N0062,203.76.192.223,2023-06-11 04:13:11
L000035,M0060,N0010,118.194.248.58,2024-11-16 15:10:33
L000036,M0051,N0072,146.24.203.102,2022-01-22 14:55:30
L000037,M0016,N0059,147.173.192.173,2023-02-12 06:05:08
L000038,M0082,N0048,113.173.60.121,2022-02-08 20:59:11
L000039,M0072,N0042,178.57.166.17,2024-09-14 01:34:30
L000040,M0090,N0039,183.105.30.36,2022-03-12 10:39:05
L000041,M0039,N0064,114.25.61.228,2024-04-15 01:11:24
L000042,M0059,N0048,185.244.191.179,2024-04-19 03:50:09
L000043,M0096,N0094,119.227.107.168,2022-06-03 19:47:38
L000044,M0079,N0053,135.9.177.95,2022-12-04 12:24:03
L000045,M0031,N0047,112.252.176.95,2024-04-25 19:09:30
L000046,M0083,N0046,107.102.71.49,2022-07-09 18:26:39
L000047,M0059,N0012,184.55.165.164,2024-07-16 15:12:53
L000048,M0007,N0043,131.254.33.202,2024-05-27 00:59:33
